timestamp millis,Plantar Pressure Voltage
28905,"0.16,0.02,0.03,0.00,0.08,0.02,0.01,0.00,0.03,0.02,0.01,0.03,0.01,0.07,0.03,0.02,0.01,0.01,0.09,0.03,0.02,0.03,0.02,0.06,0.02,0.02,0.07,0.06,0.06,0.02,0.00,0.05,0.09,0.01,0.00,0.05,0.13,0.03,0.02,0.08,0.18,0.04,0.05,0.15,0.33,0.12,0.18,0.19,0.23,0.37,0.31,0.26,0.17,0.49,0.37,0.29,0.15,0.50,0.41,0.29,0.14,0.35,0.56,0.29"
28972,"0.28,0.09,0.10,0.02,0.10,0.02,0.04,0.00,0.10,0.05,0.00,0.03,0.00,0.13,0.05,0.03,0.05,0.03,0.22,0.05,0.11,0.16,0.09,0.13,0.05,0.14,0.21,0.15,0.07,0.02,0.05,0.17,0.18,0.02,0.03,0.10,0.17,0.04,0.05,0.14,0.24,0.07,0.12,0.21,0.42,0.23,0.27,0.24,0.23,0.46,0.34,0.28,0.17,0.53,0.40,0.31,0.15,0.53,0.42,0.29,0.14,0.41,0.53,0.25"
29037,"0.32,0.16,0.14,0.04,0.15,0.04,0.12,0.00,0.13,0.06,0.02,0.03,0.01,0.25,0.19,0.19,0.10,0.03,0.36,0.14,0.23,0.19,0.11,0.26,0.10,0.20,0.20,0.14,0.11,0.04,0.07,0.17,0.22,0.02,0.02,0.12,0.23,0.05,0.07,0.17,0.28,0.09,0.18,0.23,0.42,0.25,0.34,0.27,0.26,0.49,0.35,0.28,0.18,0.55,0.42,0.32,0.15,0.55,0.41,0.25,0.13,0.39,0.54,0.23"
29106,"0.34,0.21,0.16,0.04,0.14,0.07,0.22,0.01,0.17,0.09,0.08,0.08,0.01,0.34,0.26,0.28,0.13,0.04,0.45,0.19,0.28,0.19,0.13,0.27,0.13,0.28,0.24,0.17,0.11,0.04,0.10,0.22,0.25,0.04,0.03,0.19,0.27,0.05,0.08,0.21,0.32,0.10,0.20,0.23,0.43,0.29,0.33,0.25,0.24,0.45,0.35,0.28,0.16,0.56,0.39,0.25,0.09,0.56,0.40,0.20,0.09,0.31,0.46,0.16"
29171,"0.36,0.25,0.18,0.06,0.19,0.09,0.27,0.00,0.23,0.11,0.12,0.14,0.02,0.37,0.28,0.32,0.19,0.06,0.47,0.21,0.33,0.22,0.15,0.31,0.16,0.29,0.26,0.20,0.10,0.04,0.10,0.25,0.34,0.03,0.05,0.22,0.31,0.04,0.09,0.21,0.31,0.08,0.23,0.25,0.40,0.25,0.32,0.25,0.22,0.41,0.33,0.25,0.10,0.49,0.39,0.23,0.05,0.41,0.33,0.14,0.07,0.21,0.29,0.11"
29238,"0.36,0.27,0.19,0.07,0.23,0.10,0.30,0.02,0.27,0.17,0.16,0.13,0.02,0.41,0.33,0.36,0.19,0.05,0.49,0.23,0.36,0.22,0.15,0.32,0.18,0.33,0.25,0.18,0.09,0.05,0.13,0.28,0.33,0.02,0.04,0.25,0.33,0.04,0.08,0.23,0.32,0.08,0.20,0.24,0.41,0.22,0.27,0.23,0.22,0.39,0.29,0.23,0.08,0.44,0.37,0.14,0.04,0.36,0.23,0.06,0.07,0.21,0.18,0.07"
29305,"0.39,0.27,0.17,0.08,0.24,0.11,0.26,0.01,0.31,0.20,0.19,0.19,0.02,0.44,0.36,0.37,0.19,0.04,0.54,0.25,0.35,0.22,0.12,0.35,0.20,0.33,0.26,0.21,0.09,0.04,0.14,0.28,0.32,0.05,0.04,0.24,0.29,0.03,0.06,0.21,0.29,0.08,0.17,0.20,0.38,0.19,0.26,0.22,0.17,0.34,0.22,0.14,0.05,0.40,0.27,0.06,0.02,0.29,0.15,0.04,0.06,0.16,0.07,0.07"
29370,"0.41,0.31,0.19,0.10,0.32,0.13,0.28,0.00,0.36,0.26,0.22,0.16,0.02,0.45,0.39,0.38,0.20,0.06,0.53,0.27,0.39,0.23,0.15,0.34,0.23,0.37,0.26,0.17,0.08,0.05,0.14,0.30,0.30,0.02,0.03,0.20,0.27,0.05,0.04,0.18,0.24,0.06,0.12,0.20,0.32,0.13,0.17,0.16,0.14,0.28,0.18,0.07,0.05,0.30,0.18,0.02,0.03,0.14,0.05,0.00,0.06,0.13,0.03,0.03"
29437,"0.48,0.28,0.16,0.12,0.33,0.14,0.31,0.02,0.39,0.31,0.24,0.17,0.02,0.50,0.40,0.37,0.21,0.05,0.58,0.29,0.34,0.22,0.15,0.32,0.23,0.35,0.26,0.17,0.07,0.07,0.09,0.21,0.27,0.04,0.03,0.13,0.18,0.01,0.03,0.14,0.16,0.05,0.07,0.15,0.24,0.12,0.13,0.09,0.08,0.23,0.12,0.03,0.05,0.26,0.17,0.01,0.01,0.15,0.03,0.00,0.07,0.12,0.10,0.07"
29505,"0.48,0.27,0.19,0.11,0.41,0.16,0.31,0.01,0.43,0.34,0.25,0.16,0.00,0.52,0.40,0.37,0.19,0.03,0.64,0.32,0.35,0.21,0.09,0.30,0.21,0.26,0.20,0.13,0.10,0.04,0.04,0.13,0.18,0.04,0.05,0.06,0.13,0.04,0.05,0.06,0.10,0.05,0.04,0.09,0.18,0.10,0.09,0.04,0.09,0.18,0.10,0.04,0.03,0.22,0.11,0.01,0.02,0.13,0.06,0.01,0.06,0.12,0.11,0.06"
29570,"0.38,0.27,0.33,0.15,0.38,0.18,0.35,0.01,0.46,0.27,0.20,0.22,0.01,0.55,0.39,0.35,0.15,0.02,0.69,0.33,0.28,0.17,0.07,0.37,0.22,0.20,0.15,0.09,0.06,0.02,0.04,0.13,0.14,0.03,0.01,0.05,0.12,0.03,0.00,0.02,0.10,0.06,0.03,0.02,0.17,0.06,0.02,0.01,0.07,0.11,0.04,0.00,0.01,0.11,0.04,0.02,0.02,0.11,0.01,0.00,0.06,0.12,0.08,0.04"
